name,genre,year,score,votes,director,star
The Shining,Drama,1980,8.4,927000.0,Stanley Kubrick,Jack Nicholson
The Blue Lagoon,Adventure,1980,5.8,65000.0,Randal Kleiser,Brooke Shields
Star Wars: Episode V - The Empire Strikes Back,Action,1980,8.7,1200000.0,Irvin Kershner,Mark Hamill
Airplane!,Comedy,1980,7.7,221000.0,Jim Abrahams,Robert Hays
Caddyshack,Comedy,1980,7.3,108000.0,Harold Ramis,Chevy Chase
Friday the 13th,Horror,1980,6.4,123000.0,Sean S. Cunningham,Betsy Palmer
The Blues Brothers,Action,1980,7.9,188000.0,John Landis,John Belushi
Raging Bull,Biography,1980,8.2,330000.0,Martin Scorsese,Robert De Niro
Superman II,Action,1980,6.8,101000.0,Richard Lester,Gene Hackman
The Long Riders,Biography,1980,7.0,10000.0,Walter Hill,David Carradine
Any Which Way You Can,Action,1980,6.1,18000.0,Buddy Van Horn,Clint Eastwood
The Gods Must Be Crazy,Adventure,1980,7.3,54000.0,Jamie Uys,N!xau
Popeye,Adventure,1980,5.3,30000.0,Robert Altman,Robin Williams
Ordinary People,Drama,1980,7.7,49000.0,Robert Redford,Donald Sutherland
Dressed to Kill,Crime,1980,7.1,37000.0,Brian De Palma,Michael Caine
Somewhere in Time,Drama,1980,7.2,27000.0,Jeannot Szwarc,Christopher Reeve
Fame,Drama,1980,6.6,21000.0,Alan Parker,Eddie Barth
9 to 5,Comedy,1980,6.9,29000.0,Colin Higgins,Jane Fonda
The Fog,Horror,1980,6.8,66000.0,John Carpenter,Adrienne Barbeau
Stir Crazy,Comedy,1980,6.8,26000.0,Sidney Poitier,Gene Wilder
Cruising,Crime,1980,6.5,20000.0,William Friedkin,Al Pacino
Heaven's Gate,Adventure,1980,6.8,14000.0,Michael Cimino,Kris Kristofferson
The Final Countdown,Action,1980,6.7,22000.0,Don Taylor,Kirk Douglas
Xanadu,Fantasy,1980,5.3,12000.0,Robert Greenwald,Olivia Newton-John
Urban Cowboy,Drama,1980,6.4,14000.0,James Bridges,John Travolta
Altered States,Horror,1980,6.9,33000.0,Ken Russell,William Hurt
Little Darlings,Comedy,1980,6.5,5100.0,Ron Maxwell,Tatum O'Neal
Raise the Titanic,Action,1980,5.0,4100.0,Jerry Jameson,Jason Robards
Brubaker,Crime,1980,7.2,17000.0,Stuart Rosenberg,Robert Redford
American Gigolo,Crime,1980,6.2,22000.0,Paul Schrader,Richard Gere
My Bodyguard,Comedy,1980,7.1,8900.0,Tony Bill,Chris Makepeace
Prom Night,Horror,1980,5.4,16000.0,Paul Lynch,Leslie Nielsen
Smokey and the Bandit II,Action,1980,5.3,15000.0,Hal Needham,Burt Reynolds
Cattle Annie and Little Britches,Drama,1980,6.1,604.0,Lamont Johnson,Scott Glenn
Seems Like Old Times,Comedy,1980,6.7,9100.0,Jay Sandrich,Goldie Hawn
Private Benjamin,Comedy,1980,6.2,24000.0,Howard Zieff,Goldie Hawn
The Hollywood Knights,Comedy,1980,6.3,4300.0,Floyd Mutrux,Tony Danza
Motel Hell,Comedy,1980,6.0,11000.0,Kevin Connor,Rory Calhoun
The Jazz Singer,Drama,1980,5.9,4000.0,Richard Fleischer,Laurence Olivier
Coal Miner's Daughter,Biography,1980,7.5,17000.0,Michael Apted,Sissy Spacek
The Watcher in the Woods,Family,1980,6.3,5700.0,John Hough,Bette Davis
Breaker Morant,Drama,1980,7.9,13000.0,Bruce Beresford,Edward Woodward
The Stunt Man,Action,1980,7.1,9000.0,Richard Rush,Peter O'Toole
Where the Buffalo Roam,Biography,1980,6.6,11000.0,Art Linson,Peter Boyle
The Awakening,Horror,1980,4.8,2000.0,Mike Newell,Charlton Heston
Cheech and Chong's Next Movie,Comedy,1980,6.1,12000.0,Tommy Chong,Cheech Marin
The Island,Action,1980,5.3,3900.0,Michael Ritchie,Michael Caine
The Boogey Man,Horror,1980,4.6,3900.0,Ulli Lommel,Suzanna Love
The Nude Bomb,Action,1980,5.1,3100.0,Clive Donner,Don Adams
Lion of the Desert,Biography,1980,8.3,15000.0,Moustapha Akkad,Anthony Quinn
Stardust Memories,Comedy,1980,7.3,22000.0,Woody Allen,Woody Allen
Melvin and Howard,Comedy,1980,6.8,4500.0,Jonathan Demme,Paul Le Mat
Can't Stop the Music,Biography,1980,4.2,3700.0,Nancy Walker,Ray Simpson
Bronco Billy,Action,1980,6.1,11000.0,Clint Eastwood,Clint Eastwood
City of Women,Comedy,1980,7.0,6700.0,Federico Fellini,Marcello Mastroianni
The Private Eyes,Comedy,1980,6.7,2900.0,Lang Elliott,Tim Conway
When Time Ran Out...,Action,1980,4.6,2600.0,James Goldstone,Paul Newman
Oh Heavenly Dog,Comedy,1980,5.4,2400.0,Joe Camp,Chevy Chase
The Octagon,Action,1980,5.1,5200.0,Eric Karson,Chuck Norris
Hangar 18,Sci-Fi,1980,5.3,2400.0,James L. Conway,Darren McGavin
Herbie Goes Bananas,Adventure,1980,5.0,5300.0,Vincent McEveety,Charles Martin Smith
The Competition,Drama,1980,6.7,1900.0,Joel Oliansky,Richard Dreyfuss
It's My Turn,Comedy,1980,5.5,875.0,Claudia Weill,Jill Clayburgh
Honeysuckle Rose,Drama,1980,6.3,1400.0,Jerry Schatzberg,Willie Nelson
Resurrection,Drama,1980,7.3,2800.0,Daniel Petrie,Ellen Burstyn
Fatso,Comedy,1980,6.3,2000.0,Anne Bancroft,Dom DeLuise
Moscow Does Not Believe in Tears,Comedy,1980,8.1,12000.0,Vladimir Menshov,Vera Alentova
The Fiendish Plot of Dr. Fu Manchu,Comedy,1980,5.1,2000.0,Piers Haggard,Peter Sellers
Serial,Comedy,1980,6.6,915.0,Bill Persky,Martin Mull
Hero at Large,Comedy,1980,6.0,1500.0,Martin Davidson,John Ritter
Wholly Moses!,Comedy,1980,4.7,1800.0,Gary Weis,Dudley Moore
"Bon Voyage, Charlie Brown (and Don't Come Back!!)",Animation,1980,7.3,2900.0,Bill Melendez,Scott Beach
In God We Trust (or Gimme That Prime Time Religion),Comedy,1980,5.5,965.0,Marty Feldman,Marty Feldman
Roadie,Comedy,1980,5.2,1100.0,Alan Rudolph,Meat Loaf
Just Tell Me What You Want,Comedy,1980,5.5,585.0,Sidney Lumet,Ali MacGraw
The Last Flight of Noah's Ark,Adventure,1980,5.8,1300.0,Charles Jarrott,Elliott Gould
Little Miss Marker,Comedy,1980,6.3,1400.0,Walter Bernstein,Walter Matthau
Willie & Phil,Comedy,1980,5.9,415.0,Paul Mazursky,Michael Ontkean
Babylon,Drama,1980,7.4,1300.0,Franco Rosso,David N. Haynes
Windwalker,Adventure,1980,6.9,1000.0,Kieth Merrill,Trevor Howard
Phobia,Drama,1980,4.0,546.0,John Huston,Paul Michael Glaser
Windows,Drama,1980,4.8,643.0,Gordon Willis,Talia Shire
Loving Couples,Comedy,1980,5.2,351.0,Jack Smight,Shirley MacLaine
The King and the Mockingbird,Animation,1980,7.9,4800.0,Paul Grimault,Jean Martin
"Oh, God! Book II",Comedy,1980,5.2,2100.0,Gilbert Cates,George Burns
"Those Lips, Those Eyes",Comedy,1980,6.5,269.0,Michael Pressman,Frank Langella
La Cage aux Folles II,Comedy,1980,5.8,1900.0,Édouard Molinaro,Michel Serrault
The Gong Show Movie,Comedy,1980,4.3,740.0,Chuck Barris,Chuck Barris
Gilda Live,Comedy,1980,6.8,599.0,Mike Nichols,Gilda Radner
Why Would I Lie?,Comedy,1980,6.5,211.0,Larry Peerce,Treat Williams
First Family,Comedy,1980,4.3,593.0,Buck Henry,Bob Newhart
Mantis Fist Fighter,Action,1980,6.7,230.0,Wing-Cho Yip,Ka-Yan Leung
Indiana Jones and the Raiders of the Lost Ark,Action,1981,8.4,905000.0,Steven Spielberg,Harrison Ford
Body Heat,Crime,1981,7.4,32000.0,Lawrence Kasdan,William Hurt
An American Werewolf in London,Comedy,1981,7.5,97000.0,John Landis,David Naughton
Escape from New York,Action,1981,7.2,131000.0,John Carpenter,Kurt Russell
The Evil Dead,Horror,1981,7.5,192000.0,Sam Raimi,Bruce Campbell
Porky's,Comedy,1981,6.2,40000.0,Bob Clark,Dan Monahan
Blow Out,Crime,1981,7.4,47000.0,Brian De Palma,John Travolta
Clash of the Titans,Action,1981,6.9,42000.0,Desmond Davis,Laurence Olivier
Excalibur,Adventure,1981,7.4,59000.0,John Boorman,Nigel Terry
Mad Max 2,Action,1981,7.6,170000.0,George Miller,Mel Gibson
Das Boot,Adventure,1981,8.3,237000.0,Wolfgang Petersen,Jürgen Prochnow
Stripes,Comedy,1981,6.9,68000.0,Ivan Reitman,Bill Murray
Possession,Drama,1981,7.4,27000.0,Andrzej Zulawski,Isabelle Adjani
The Cannonball Run,Action,1981,6.2,34000.0,Hal Needham,Burt Reynolds
Thief,Action,1981,7.4,27000.0,Michael Mann,James Caan
Endless Love,Drama,1981,4.9,7600.0,Franco Zeffirelli,Brooke Shields
Time Bandits,Adventure,1981,7.0,60000.0,Terry Gilliam,Sean Connery
The Four Seasons,Comedy,1981,6.8,4200.0,Alan Alda,Alan Alda
Friday the 13th Part 2,Horror,1981,6.1,61000.0,Steve Miner,Betsy Palmer
Scanners,Horror,1981,6.8,51000.0,David Cronenberg,Jennifer O'Neill
For Your Eyes Only,Action,1981,6.7,94000.0,John Glen,Roger Moore
Halloween II,Horror,1981,6.5,77000.0,Rick Rosenthal,Jamie Lee Curtis
Taps,Drama,1981,6.8,17000.0,Harold Becker,George C. Scott
Reds,Biography,1981,7.3,21000.0,Warren Beatty,Warren Beatty
On Golden Pond,Drama,1981,7.6,29000.0,Mark Rydell,Katharine Hepburn
The Fox and the Hound,Animation,1981,7.3,87000.0,Directors,Mickey Rooney
Chariots of Fire,Biography,1981,7.2,56000.0,Hugh Hudson,Ben Cross
Absence of Malice,Drama,1981,6.9,12000.0,Sydney Pollack,Paul Newman
Tarzan the Ape Man,Adventure,1981,3.4,5300.0,John Derek,Bo Derek
Victory,Drama,1981,6.7,29000.0,John Huston,Michael Caine
Arthur,Comedy,1981,6.9,27000.0,Steve Gordon,Dudley Moore
My Dinner with Andre,Biography,1981,7.8,19000.0,Louis Malle,Andre Gregory
Caveman,Comedy,1981,5.8,7300.0,Carl Gottlieb,Ringo Starr
Dead & Buried,Horror,1981,6.6,11000.0,Gary Sherman,James Farentino
History of the World: Part I,Comedy,1981,6.9,47000.0,Mel Brooks,Mel Brooks
The Howling,Horror,1981,6.6,32000.0,Joe Dante,Dee Wallace
Dragonslayer,Action,1981,6.7,16000.0,Matthew Robbins,Peter MacNicol
Cutter's Way,Crime,1981,6.9,5300.0,Ivan Passer,Jeff Bridges
Quest for Fire,Adventure,1981,7.3,21000.0,Jean-Jacques Annaud,Everett McGill
The Final Conflict,Horror,1981,5.6,19000.0,Graham Baker,Sam Neill
Mommie Dearest,Biography,1981,6.7,15000.0,Frank Perry,Faye Dunaway
Private Lessons,Comedy,1981,5.2,3400.0,Alan Myerson,Sylvia Kristel
The Postman Always Rings Twice,Crime,1981,6.6,22000.0,Bob Rafelson,Jack Nicholson
Ragtime,Drama,1981,7.3,9000.0,Milos Forman,James Cagney
Deadly Blessing,Horror,1981,5.6,5200.0,Wes Craven,Maren Jensen
Eyewitness,Crime,1981,6.0,4500.0,Peter Yates,William Hurt
Gallipoli,Adventure,1981,7.4,38000.0,Peter Weir,Mel Gibson
Outland,Action,1981,6.6,28000.0,Peter Hyams,Sean Connery
Southern Comfort,Action,1981,7.2,17000.0,Walter Hill,Keith Carradine
